nombre,edad,nota,carrera,materias_aprobadas
Juan,18,85,Sistemas,4
Maria,18,90,Sistemas,5
Luis,18,78,Sistemas,6
Ana,18,88,Sistemas,7
Pedro,18,75,Sistemas,8
Jose,19,80,Sistemas,8
Lucia,19,95,Sistemas,9
Mario,20,70,Sistemas,10
Sofia,20,89,Sistemas,10
Carlos,21,77,Sistemas,11
Elena,21,91,Sistemas,11
Miguel,21,84,Sistemas,12
Rosa,21,86,Sistemas,12
Diego,21,79,Civil,12
Paula,22,92,Civil,13
Andres,22,81,Civil,14
Carmen,22,87,Civil,14
Raul,23,76,Civil,15
Julia,23,90,Civil,15
Kevin,24,73,Industrial,16
Laura,24,88,Industrial,17
Marco,25,82,Industrial,18
Patricia,25,91,Industrial,18
Sergio,26,74,Industrial,19
Valeria,26,85,Industrial,20
