nombre,edad,nota,carrera
Juan,20,85,Sistemas
Maria,22,90,Sistemas
Luis,19,78,Sistemas
Ana,21,88,Sistemas
Pedro,20,75,Sistemas
Jose,23,80,Sistemas
Lucia,22,95,Sistemas
Mario,24,70,Sistemas
Sofia,21,89,Sistemas
Carlos,20,77,Sistemas
Elena,22,91,Sistemas
Miguel,23,84,Sistemas
Rosa,21,86,Sistemas
Diego,20,79,Civil
Paula,22,92,Civil
Andres,21,81,Civil
Carmen,23,87,Civil
Raul,24,76,Civil
Julia,22,90,Civil
Kevin,20,73,Industrial
Laura,21,88,Industrial
Marco,23,82,Industrial
Patricia,22,91,Industrial
Sergio,24,74,Industrial
Valeria,21,85,Industrial
